% Usage, time(24h)
data: 0.0,2022-06-02 22:26:50.808964
data: 2.0,2022-06-02 22:26:51.318238
data: 0.0,2022-06-02 22:26:51.827672
data: 0.0,2022-06-02 22:26:52.337096
data: 2.0,2022-06-02 22:26:52.846454
data: 0.0,2022-06-02 22:26:53.355823
data: 0.0,2022-06-02 22:26:53.865049
data: 2.0,2022-06-02 22:26:54.374308
data: 0.0,2022-06-02 22:26:54.883751
data: 0.0,2022-06-02 22:26:55.393111
data: 2.0,2022-06-02 22:26:55.902276
data: 0.0,2022-06-02 22:26:56.411304
data: 0.0,2022-06-02 22:26:56.920866
data: 2.0,2022-06-02 22:26:57.430246
data: 0.0,2022-06-02 22:26:57.939477
data: 0.0,2022-06-02 22:26:58.448636
data: 2.0,2022-06-02 22:26:58.957533
