% Usage, time(24h)
data: 60493824,2022-06-02 22:26:50.808964
data: 60530688,2022-06-02 22:26:51.318238
data: 60530688,2022-06-02 22:26:51.827672
data: 60530688,2022-06-02 22:26:52.337096
data: 60530688,2022-06-02 22:26:52.846454
data: 60530688,2022-06-02 22:26:53.355823
data: 60530688,2022-06-02 22:26:53.865049
data: 60530688,2022-06-02 22:26:54.374308
data: 60530688,2022-06-02 22:26:54.883751
data: 60530688,2022-06-02 22:26:55.393111
data: 60530688,2022-06-02 22:26:55.902276
data: 60530688,2022-06-02 22:26:56.411304
data: 60530688,2022-06-02 22:26:56.920866
data: 60530688,2022-06-02 22:26:57.430246
data: 60530688,2022-06-02 22:26:57.939477
data: 60530688,2022-06-02 22:26:58.448636
data: 60706816,2022-06-02 22:26:58.957533
