% Usage, time(24h)
 0.0,2022-06-07 12:52:38.358165
 8.0,2022-06-07 12:52:38.859046
 8.0,2022-06-07 12:52:39.358533
 8.0,2022-06-07 12:52:39.858477
 8.0,2022-06-07 12:52:40.358452
 8.0,2022-06-07 12:52:40.858536
 8.0,2022-06-07 12:52:41.358627
 10.0,2022-06-07 12:52:41.858858
 8.0,2022-06-07 12:52:42.358564
 10.0,2022-06-07 12:52:42.858535
 8.0,2022-06-07 12:52:43.358487
 10.0,2022-06-07 12:52:43.858800
 8.0,2022-06-07 12:52:44.358854
 10.0,2022-06-07 12:52:44.858556
 8.0,2022-06-07 12:52:45.358501
 8.0,2022-06-07 12:52:45.858264
 4.0,2022-06-07 12:52:46.358390
