% Usage, time(24h)
 0.0,2022-06-07 11:30:21.859682
 4.0,2022-06-07 11:30:22.359380
 4.0,2022-06-07 11:30:22.859717
 6.0,2022-06-07 11:30:23.359317
 6.0,2022-06-07 11:30:23.859182
 4.0,2022-06-07 11:30:24.358743
 4.0,2022-06-07 11:30:24.859294
 6.0,2022-06-07 11:30:25.359899
 6.0,2022-06-07 11:30:25.858950
 4.0,2022-06-07 11:30:26.359303
 4.0,2022-06-07 11:30:26.858969
 6.0,2022-06-07 11:30:27.359054
 4.0,2022-06-07 11:30:27.860328
 4.0,2022-06-07 11:30:28.359043
 6.0,2022-06-07 11:30:28.860701
 4.0,2022-06-07 11:30:29.358992
 4.0,2022-06-07 11:30:29.859481
 4.0,2022-06-07 11:30:30.358948
 4.0,2022-06-07 11:30:30.859361
 6.0,2022-06-07 11:30:31.359293
 4.0,2022-06-07 11:30:31.859083
 6.0,2022-06-07 11:30:32.359945
 4.0,2022-06-07 11:30:32.858926
 6.0,2022-06-07 11:30:33.359858
 6.0,2022-06-07 11:30:33.859225
 4.0,2022-06-07 11:30:34.359678
 6.0,2022-06-07 11:30:34.858856
 4.0,2022-06-07 11:30:35.359404
 8.0,2022-06-07 11:30:35.860245
 6.0,2022-06-07 11:30:36.359799
 2.0,2022-06-07 11:30:36.859429
 6.0,2022-06-07 11:30:37.359344
 6.0,2022-06-07 11:30:37.859604
 4.0,2022-06-07 11:30:38.359205
 4.0,2022-06-07 11:30:38.858885
 8.0,2022-06-07 11:30:39.358856
 4.0,2022-06-07 11:30:39.859079
 6.0,2022-06-07 11:30:40.360516
 6.0,2022-06-07 11:30:40.860003
 4.0,2022-06-07 11:30:41.359366
 6.0,2022-06-07 11:30:41.859055
 4.0,2022-06-07 11:30:42.359050
 6.0,2022-06-07 11:30:42.859040
 8.0,2022-06-07 11:30:43.360155
 4.0,2022-06-07 11:30:43.860494
 6.0,2022-06-07 11:30:44.358940
 4.0,2022-06-07 11:30:44.859220
 8.0,2022-06-07 11:30:45.359539
 2.0,2022-06-07 11:30:45.859983
 8.0,2022-06-07 11:30:46.360232
 4.0,2022-06-07 11:30:46.859364
 4.0,2022-06-07 11:30:47.359239
 6.0,2022-06-07 11:30:47.859400
 6.0,2022-06-07 11:30:48.358975
 6.0,2022-06-07 11:30:48.858975
 4.0,2022-06-07 11:30:49.360309
 6.0,2022-06-07 11:30:49.859295
 6.0,2022-06-07 11:30:50.359610
 6.0,2022-06-07 11:30:50.859298
 6.0,2022-06-07 11:30:51.359425
 4.0,2022-06-07 11:30:51.859329
 6.0,2022-06-07 11:30:52.360406
 6.0,2022-06-07 11:30:52.859420
 4.0,2022-06-07 11:30:53.359311
 8.0,2022-06-07 11:30:53.860299
 6.0,2022-06-07 11:30:54.360885
 6.0,2022-06-07 11:30:54.859250
 6.0,2022-06-07 11:30:55.359794
 6.0,2022-06-07 11:30:55.859779
 6.0,2022-06-07 11:30:56.359765
 6.0,2022-06-07 11:30:56.859695
 6.0,2022-06-07 11:30:57.360526
 6.0,2022-06-07 11:30:57.858759
 6.0,2022-06-07 11:30:58.359437
