% Usage, time(24h)
 0.0,2022-06-07 11:04:21.858450
 10.0,2022-06-07 11:04:22.358822
 8.0,2022-06-07 11:04:22.858837
 8.0,2022-06-07 11:04:23.358853
 8.0,2022-06-07 11:04:23.858496
 10.0,2022-06-07 11:04:24.358816
 8.0,2022-06-07 11:04:24.858393
 10.0,2022-06-07 11:04:25.358805
 10.0,2022-06-07 11:04:25.858480
 8.0,2022-06-07 11:04:26.358830
 10.0,2022-06-07 11:04:26.858603
 8.0,2022-06-07 11:04:27.358820
 10.0,2022-06-07 11:04:27.858382
 6.0,2022-06-07 11:04:28.358369
 14.0,2022-06-07 11:04:28.858503
 8.0,2022-06-07 11:04:29.358626
 8.0,2022-06-07 11:04:29.858455
 12.0,2022-06-07 11:04:30.358479
 10.0,2022-06-07 11:04:30.858481
 8.0,2022-06-07 11:04:31.358534
 12.0,2022-06-07 11:04:31.858110
 8.0,2022-06-07 11:04:32.358900
 8.0,2022-06-07 11:04:32.858391
 6.0,2022-06-07 11:04:33.358377
 10.0,2022-06-07 11:04:33.858524
 8.0,2022-06-07 11:04:34.358501
 10.0,2022-06-07 11:04:34.858114
 12.0,2022-06-07 11:04:35.358390
 14.0,2022-06-07 11:04:35.858160
 6.0,2022-06-07 11:04:36.358553
 8.0,2022-06-07 11:04:36.858413
 10.0,2022-06-07 11:04:37.358581
 8.0,2022-06-07 11:04:37.858377
 10.0,2022-06-07 11:04:38.358477
 6.0,2022-06-07 11:04:38.858410
 10.0,2022-06-07 11:04:39.358396
 12.0,2022-06-07 11:04:39.858524
 8.0,2022-06-07 11:04:40.358397
 10.0,2022-06-07 11:04:40.858382
 8.0,2022-06-07 11:04:41.358827
 6.0,2022-06-07 11:04:41.858871
 10.0,2022-06-07 11:04:42.358476
 8.0,2022-06-07 11:04:42.858534
 8.0,2022-06-07 11:04:43.358494
 8.0,2022-06-07 11:04:43.858175
 6.0,2022-06-07 11:04:44.358785
 10.0,2022-06-07 11:04:44.858518
 8.0,2022-06-07 11:04:45.358822
 10.0,2022-06-07 11:04:45.858838
 8.0,2022-06-07 11:04:46.358392
 8.0,2022-06-07 11:04:46.858821
 8.0,2022-06-07 11:04:47.358590
 16.0,2022-06-07 11:04:47.858221
 10.0,2022-06-07 11:04:48.358114
 6.0,2022-06-07 11:04:48.858536
 12.0,2022-06-07 11:04:49.358479
 8.0,2022-06-07 11:04:49.858367
 10.0,2022-06-07 11:04:50.358838
 10.0,2022-06-07 11:04:50.858813
 10.0,2022-06-07 11:04:51.358370
 8.0,2022-06-07 11:04:51.858379
 16.0,2022-06-07 11:04:52.358389
 16.0,2022-06-07 11:04:52.858592
 26.0,2022-06-07 11:04:53.358524
 22.0,2022-06-07 11:04:53.858473
 18.0,2022-06-07 11:04:54.358863
 20.0,2022-06-07 11:04:54.858566
 20.0,2022-06-07 11:04:55.358363
 22.0,2022-06-07 11:04:55.858413
 18.0,2022-06-07 11:04:56.358423
 22.0,2022-06-07 11:04:56.858538
 26.0,2022-06-07 11:04:57.358465
 20.0,2022-06-07 11:04:57.858167
 16.0,2022-06-07 11:04:58.358211
 24.0,2022-06-07 11:04:58.858406
 32.0,2022-06-07 11:04:59.358526
 20.0,2022-06-07 11:04:59.858874
 24.0,2022-06-07 11:05:00.358493
 24.0,2022-06-07 11:05:00.858542
 22.0,2022-06-07 11:05:01.358450
 26.0,2022-06-07 11:05:01.858799
 20.0,2022-06-07 11:05:02.358507
 28.0,2022-06-07 11:05:02.858807
 24.0,2022-06-07 11:05:03.358505
 30.0,2022-06-07 11:05:03.858505
 34.0,2022-06-07 11:05:04.358790
 32.0,2022-06-07 11:05:04.858517
 30.0,2022-06-07 11:05:05.358375
 32.0,2022-06-07 11:05:05.858191
 20.0,2022-06-07 11:05:06.358588
 32.0,2022-06-07 11:05:06.858391
 26.0,2022-06-07 11:05:07.359010
 24.0,2022-06-07 11:05:07.858481
 18.0,2022-06-07 11:05:08.358305
 22.0,2022-06-07 11:05:08.858481
 22.0,2022-06-07 11:05:09.358589
 26.0,2022-06-07 11:05:09.858405
 22.0,2022-06-07 11:05:10.358583
 22.0,2022-06-07 11:05:10.858393
 26.0,2022-06-07 11:05:11.358852
 22.0,2022-06-07 11:05:11.858395
 22.0,2022-06-07 11:05:12.358387
 24.0,2022-06-07 11:05:12.858094
 18.0,2022-06-07 11:05:13.358178
 20.0,2022-06-07 11:05:13.858326
 18.0,2022-06-07 11:05:14.358525
 24.0,2022-06-07 11:05:14.858250
 16.0,2022-06-07 11:05:15.358556
 18.0,2022-06-07 11:05:15.858879
 20.0,2022-06-07 11:05:16.358573
 16.0,2022-06-07 11:05:16.858185
 12.0,2022-06-07 11:05:17.358762
 6.0,2022-06-07 11:05:17.858117
 6.0,2022-06-07 11:05:18.358500
 8.0,2022-06-07 11:05:18.858499
 10.0,2022-06-07 11:05:19.358535
 8.0,2022-06-07 11:05:19.858819
 10.0,2022-06-07 11:05:20.358814
 8.0,2022-06-07 11:05:20.858864
 12.0,2022-06-07 11:05:21.358834
 10.0,2022-06-07 11:05:21.858415
 8.0,2022-06-07 11:05:22.358271
 8.0,2022-06-07 11:05:22.858544
 8.0,2022-06-07 11:05:23.358530
 10.0,2022-06-07 11:05:23.858403
 8.0,2022-06-07 11:05:24.358388
 10.0,2022-06-07 11:05:24.858385
 8.0,2022-06-07 11:05:25.358816
 10.0,2022-06-07 11:05:25.858449
 6.0,2022-06-07 11:05:26.358558
 12.0,2022-06-07 11:05:26.858372
 6.0,2022-06-07 11:05:27.358531
 12.0,2022-06-07 11:05:27.858528
 10.0,2022-06-07 11:05:28.358054
 8.0,2022-06-07 11:05:28.858520
 8.0,2022-06-07 11:05:29.358500
 8.0,2022-06-07 11:05:29.858398
 8.0,2022-06-07 11:05:30.358523
 8.0,2022-06-07 11:05:30.858551
 10.0,2022-06-07 11:05:31.358864
 8.0,2022-06-07 11:05:31.858526
 10.0,2022-06-07 11:05:32.358457
 8.0,2022-06-07 11:05:32.858513
 10.0,2022-06-07 11:05:33.358489
 10.0,2022-06-07 11:05:33.858483
 8.0,2022-06-07 11:05:34.358449
 8.0,2022-06-07 11:05:34.858503
 10.0,2022-06-07 11:05:35.358503
 8.0,2022-06-07 11:05:35.858405
 8.0,2022-06-07 11:05:36.358570
 10.0,2022-06-07 11:05:36.858404
 10.0,2022-06-07 11:05:37.358828
 10.0,2022-06-07 11:05:37.858558
 6.0,2022-06-07 11:05:38.358534
 10.0,2022-06-07 11:05:38.858549
 10.0,2022-06-07 11:05:39.358846
 8.0,2022-06-07 11:05:39.858816
 10.0,2022-06-07 11:05:40.358479
 8.0,2022-06-07 11:05:40.858845
 10.0,2022-06-07 11:05:41.358856
 8.0,2022-06-07 11:05:41.858493
 10.0,2022-06-07 11:05:42.358438
 8.0,2022-06-07 11:05:42.858447
 8.0,2022-06-07 11:05:43.358878
 6.0,2022-06-07 11:05:43.858468
 10.0,2022-06-07 11:05:44.358448
 10.0,2022-06-07 11:05:44.858527
 8.0,2022-06-07 11:05:45.358354
 14.0,2022-06-07 11:05:45.858479
 6.0,2022-06-07 11:05:46.358305
 10.0,2022-06-07 11:05:46.858329
 10.0,2022-06-07 11:05:47.358303
