% Usage, time(24h)
 0.0,2022-06-07 22:20:14.818221
 0.0,2022-06-07 22:20:15.316629
 2.0,2022-06-07 22:20:15.817887
 0.0,2022-06-07 22:20:16.317835
 2.0,2022-06-07 22:20:16.817628
 0.0,2022-06-07 22:20:17.317713
 0.0,2022-06-07 22:20:17.817904
 0.0,2022-06-07 22:20:18.318123
 2.0,2022-06-07 22:20:18.817722
 2.0,2022-06-07 22:20:19.317716
 0.0,2022-06-07 22:20:19.817629
 0.0,2022-06-07 22:20:20.318027
 0.0,2022-06-07 22:20:20.817683
 2.0,2022-06-07 22:20:21.317674
 0.0,2022-06-07 22:20:21.817622
 2.0,2022-06-07 22:20:22.317796
 2.0,2022-06-07 22:20:22.817986
 0.0,2022-06-07 22:20:23.317746
 0.0,2022-06-07 22:20:23.817563
 2.0,2022-06-07 22:20:24.317583
 2.0,2022-06-07 22:20:24.817709
 0.0,2022-06-07 22:20:25.316836
 0.0,2022-06-07 22:20:25.817675
 2.0,2022-06-07 22:20:26.317841
 0.0,2022-06-07 22:20:26.817696
 2.0,2022-06-07 22:20:27.317840
 0.0,2022-06-07 22:20:27.817724
 0.0,2022-06-07 22:20:28.318090
 2.0,2022-06-07 22:20:28.817658
 0.0,2022-06-07 22:20:29.317974
 0.0,2022-06-07 22:20:29.817848
 2.0,2022-06-07 22:20:30.317799
 0.0,2022-06-07 22:20:30.817638
 2.0,2022-06-07 22:20:31.317813
 0.0,2022-06-07 22:20:31.816327
 0.0,2022-06-07 22:20:32.316310
 4.0,2022-06-07 22:20:32.817604
 0.0,2022-06-07 22:20:33.317651
 0.0,2022-06-07 22:20:33.817758
 0.0,2022-06-07 22:20:34.316548
 2.0,2022-06-07 22:20:34.817734
 0.0,2022-06-07 22:20:35.316462
 2.0,2022-06-07 22:20:35.817677
 0.0,2022-06-07 22:20:36.317616
 0.0,2022-06-07 22:20:36.816366
 2.0,2022-06-07 22:20:37.317727
 0.0,2022-06-07 22:20:37.816165
 2.0,2022-06-07 22:20:38.317625
 0.0,2022-06-07 22:20:38.817258
 0.0,2022-06-07 22:20:39.317918
 0.0,2022-06-07 22:20:39.817802
 2.0,2022-06-07 22:20:40.317625
